date,smb,hml,umd,rf,rm,rmrf,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10,XS1_W,XS2_W,XS3_W,XS4_W,XS5_W,XS5_W,XS6_W,XS7_W,XS8_W,XS9_W,XS10_W
1984-04-01,-0.0324478,0.0066676,0.0163717,0.0067141,0.0239831,0.017269,-0.0083812,0.0225475,-0.0049269,0.0177567,0.002196,-0.0004941,0.0288711,0.0223669,0.0316046,0.0434298,-0.0150953,0.0158334,-0.011641,0.0110426,-0.0045181,-0.0072082,0.022157,0.0156528,0.0248905,0.0367157,-0.0150953,0.0158334,-0.011641,0.0110426,-0.0045181,-0.0045181,-0.0072082,0.022157,0.0156528,0.0248905,0.0367157
1984-05-01,0.0114166,0.0122181,-0.0196388,0.0071924,-0.1040763,-0.1112687,-0.0675796,-0.0734294,-0.0844021,-0.0528921,-0.0723996,-0.0780441,-0.0804683,-0.0998761,-0.1118151,-0.106859,-0.074772,-0.0806218,-0.0915945,-0.0600845,-0.079592,-0.0852365,-0.0876607,-0.1070685,-0.1190075,-0.1140514,-0.074772,-0.0806218,-0.0915945,-0.0600845,-0.079592,-0.079592,-0.0852365,-0.0876607,-0.1070685,-0.1190075,-0.1140514
1984-06-01,-0.0014298,0.035587,-0.0029519,0.0071001,0.0262383,0.0191382,0.0233498,0.012471,0.0344889,0.0227992,0.0298682,-0.0039653,0.0403514,0.0297054,0.0180109,0.0155329,0.0162497,0.0053709,0.0273888,0.0156991,0.0227681,-0.0110654,0.0332513,0.0226053,0.0109108,0.0084328,0.0162497,0.0053709,0.0273888,0.0156991,0.0227681,0.0227681,-0.0110654,0.0332513,0.0226053,0.0109108,0.0084328
1984-07-01,0.0006743,0.0209416,-0.009326,0.009007,-0.0223465,-0.0313535,-0.0272185,-0.0597733,-0.0278515,-0.0252025,-0.0316357,-0.06034,-0.0302277,-0.0261878,-0.0152365,-0.035492,-0.0362255,-0.0687803,-0.0368585,-0.0342095,-0.0406427,-0.069347,-0.0392347,-0.0351948,-0.0242435,-0.044499,-0.0362255,-0.0687803,-0.0368585,-0.0342095,-0.0406427,-0.0406427,-0.069347,-0.0392347,-0.0351948,-0.0242435,-0.044499
1984-08-01,0.0032395,-0.0073279,-0.0115979,0.0079229,0.1004289,0.092506,0.0247799,0.0778744,0.0688791,0.043447,0.0557704,0.0828969,0.0616565,0.1087188,0.0953663,0.0903137,0.016857,0.0699515,0.0609562,0.0355241,0.0478475,0.074974,0.0537336,0.1007959,0.0874434,0.0823908,0.016857,0.0699515,0.0609562,0.0355241,0.0478475,0.0478475,0.074974,0.0537336,0.1007959,0.0874434,0.0823908
1984-09-01,-0.0090617,-0.0149637,-0.0189632,0.0079565,0.0335505,0.0255941,0.0211723,0.0042579,0.018632,0.0350345,0.0401256,0.0194067,0.023308,0.0192722,0.0280727,0.0317266,0.0132158,-0.0036986,0.0106755,0.027078,0.0321691,0.0114502,0.0153515,0.0113157,0.0201162,0.0237701,0.0132158,-0.0036986,0.0106755,0.027078,0.0321691,0.0321691,0.0114502,0.0153515,0.0113157,0.0201162,0.0237701
1984-10-01,-0.0071962,0.0185586,0.0305674,0.0078809,0.018163,0.0102821,0.0295459,0.0399607,0.0247939,0.0118302,0.0089782,0.0348286,0.0398338,0.0215682,0.025747,0.0275355,0.021665,0.0320798,0.016913,0.0039493,0.0010973,0.0269477,0.0319529,0.0136873,0.0178661,0.0196546,0.021665,0.0320798,0.016913,0.0039493,0.0010973,0.0010973,0.0269477,0.0319529,0.0136873,0.0178661,0.0196546
1984-11-01,0.0130625,-0.0090715,0.0394683,0.0072512,0.0347915,0.0275404,0.0171034,0.0114395,0.0309776,0.0223341,0.0447185,0.059432,0.0317657,0.0511276,0.056674,0.0322028,0.0098522,0.0041883,0.0237264,0.0150829,0.0374673,0.0521808,0.0245145,0.0438764,0.0494228,0.0249516,0.0098522,0.0041883,0.0237264,0.0150829,0.0374673,0.0374673,0.0521808,0.0245145,0.0438764,0.0494228,0.0249516
1984-12-01,-0.0021304,0.0098116,0.0380908,0.0073015,0.0622614,0.0549598,0.0582589,0.0472402,0.0081653,0.0441987,0.0372043,0.0509511,0.0408103,0.0529632,0.042163,0.0445203,0.0509574,0.0399387,0.0008638,0.0368972,0.0299028,0.0436496,0.0335088,0.0456617,0.0348615,0.0372188,0.0509574,0.0399387,0.0008638,0.0368972,0.0299028,0.0299028,0.0436496,0.0335088,0.0456617,0.0348615,0.0372188
1985-01-01,-0.0064702,0.0298761,0.0277116,0.0091331,0.0402905,0.0311574,0.0239224,0.0071632,0.0395846,0.0605122,0.0026933,0.0334955,0.0263246,0.0211233,0.0237952,0.0283817,0.0147893,-0.0019699,0.0304515,0.0513791,-0.0064398,0.0243624,0.0171915,0.0119902,0.0146621,0.0192486,0.0147893,-0.0019699,0.0304515,0.0513791,-0.0064398,-0.0064398,0.0243624,0.0171915,0.0119902,0.0146621,0.0192486
1985-02-01,0.0294383,-0.0011739,-0.0027306,0.0105637,-0.0069756,-0.0175393,0.0381937,0.0480129,0.0123722,0.0351566,0.0306753,0.0193197,0.026177,0.0121659,-0.0034352,-0.0125536,0.02763,0.0374492,0.0018085,0.0245929,0.0201116,0.008756,0.0156133,0.0016022,-0.0139989,-0.0231173,0.02763,0.0374492,0.0018085,0.0245929,0.0201116,0.0201116,0.008756,0.0156133,0.0016022,-0.0139989,-0.0231173
1985-03-01,0.0213777,0.0029654,0.0108655,0.0097556,0.0170436,0.007288,0.0462245,0.0202985,0.0228525,0.0561716,0.0179573,0.0436271,0.0557979,0.0440087,0.0359267,0.0209147,0.0364689,0.0105429,0.0130969,0.046416,0.0082017,0.0338715,0.0460423,0.0342531,0.0261711,0.0111591,0.0364689,0.0105429,0.0130969,0.046416,0.0082017,0.0082017,0.0338715,0.0460423,0.0342531,0.0261711,0.0111591
1985-04-01,0.0009232,0.007491,-0.0034322,0.0094191,0.0133888,0.0039698,0.0166202,0.0372852,0.0206266,0.0273496,0.0183055,0.0307687,0.0033706,0.0191802,0.0138996,0.0106208,0.0072011,0.0278661,0.0112075,0.0179305,0.0088864,0.0213496,-0.0060485,0.0097611,0.0044805,0.0012017,0.0072011,0.0278661,0.0112075,0.0179305,0.0088864,0.0088864,0.0213496,-0.0060485,0.0097611,0.0044805,0.0012017
1985-05-01,-0.000664,0.0352827,0.0210235,0.0093434,0.0231642,0.0138208,0.064348,0.0304408,0.025491,0.01502,0.0418514,0.0279057,0.043992,0.0251103,0.0268898,0.017423,0.0550046,0.0210974,0.0161476,0.0056766,0.032508,0.0185623,0.0346486,0.0157669,0.0175464,0.0080796,0.0550046,0.0210974,0.0161476,0.0056766,0.032508,0.032508,0.0185623,0.0346486,0.0157669,0.0175464,0.0080796
